"Reference","Qty","Value","Value2","Note","Description","Datasheet","Manufacturer","ManufacturerPartNum","Distributor","DistributorPartNum","DistributorPartLink","Distributor2","DistributorPartNum2","DistributorPartLink2","Distributor3","DistributorPartNum3","DistributorPartLink3"
"A1","1","Daisy_Seed","","","Electrosmith Daisy Seed DSP Microcontroller Module ARM Cortex-M7","https://daisy.nyc3.cdn.digitaloceanspaces.com/products/seed/Daisy_Seed_datasheet.pdf","Electrosmith","","Electrosmith","","https://electro-smith.com/products/daisy-seed","Thonk","PCB_Daisy_Seed","https://www.thonk.co.uk/shop/electrosmith-daisy-seed/","","",""
"A2","1","OLED_SPI_128x32","","","OLED display module 128x32 pixels SPI with header","https://learn.adafruit.com/monochrome-oled-breakouts","Adafruit","661","Adafruit","661","https://www.adafruit.com/product/661","","","","","",""
"A3","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"A4","1","Micro USB Adapter 90deg","","","Micro USB adapter/cable, 90 deg.","","StarTech","","Amazon","","https://www.amazon.ca/dp/B00EANUQ5M","","","","","",""
"C1","1","4U7","","","Capacitor - Non-polarized Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1053-947510.pdf","Panasonic","ECE-A1HN4R7U","Mouser","667-ECE-A1HN4R7U","https://www.mouser.ca/ProductDetail/667-ECE-A1HN4R7U","","","","","",""
"C2 C3","2","3N3","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/447/KEM_F3101_R82-3316969.pdf","KEMET","R82EC1330AA50K","Mouser","80-R82EC1330AA50K","https://www.mouser.ca/ProductDetail/KEMET/R82EC1330AA50K?qs=Jv4FAWB%252B0HZwlJiQ4ts8bA%3D%3D","","","","","",""
"C4 C5","2","5P6","C0G/NP0","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/212/KEM_C1049_GOLDMAX_C0G-1102120.pdf","KEMET","C315C569D1G5TA","Mouser","80-C315C569D1G","https://www.mouser.ca/ProductDetail/?qs=qe%2F8UmbcoTBh6wC284cfAA%3D%3D","","","","","",""
"C6 C7 C8 C9","4","47P","C0G/NP0","","Capacitor - Ceramic","https://www.vishay.com/docs/45171/kseries.pdf","Vishay","K470K15C0GH53L2","Mouser","594-K470K15C0GH53L2","https://www.mouser.ca/ProductDetail/Vishay-BC-Components/K470K15C0GH53L2?qs=vmM6vcLFxxH%252BnUnXm2ihfA%3D%3D","","","","","",""
"C10 C11 C12 C13 C16 C17 C18 C19 C20 C21 C22 C23","12","100N","","IC decoupling","-- mixed values --","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C14 C15","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"D1 D2","2","1N5711","","","Schottky signal diode","https://www.mouser.ca/datasheet/2/389/cd00000759-1795802.pdf","STMicroelectronics","1N5711","Mouser","511-1N5711","https://www.mouser.ca/ProductDetail/STMicroelectronics/1N5711?qs=FITO%2F%2FQgYDnH7pJ7rS2FRA%3D%3D","","","","","",""
"H1 H5 H6 H10","4","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","~","","","","","","","","","","",""
"H3 H8","2","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","Mouser","144-MTS-11","https://www.mouser.ca/ProductDetail/144-MTS-11"
